customer_id,first_name,last_name,country,currency,age,gender,registration_date,is_premium,email_verified,email
CUST00001,Laura,Brown,UK,GBP,21,F,2020-10-12,False,True,laura.brown0001@email.com
CUST00002,Claire,Brown,Australia,AUD,47,M,2020-07-13,True,True,claire.brown0002@email.com
CUST00003,Thomas,Allen,Canada,CAD,68,M,2020-06-04,False,True,thomas.allen0003@email.com
CUST00004,William,Jackson,France,EUR,59,M,2020-12-12,False,False,william.jackson0004@email.com
CUST00005,Nina,Mueller,USA,USD,56,F,2021-10-24,False,True,nina.mueller0005@email.com
CUST00006,Elena,Thomas,USA,USD,22,F,2020-12-16,False,True,elena.thomas0006@email.com
CUST00007,Nina,Wilson,USA,USD,20,F,2020-02-17,False,True,nina.wilson0007@email.com
CUST00008,Michael,Jackson,Spain,EUR,39,F,2021-05-22,False,True,michael.jackson0008@email.com
CUST00009,Emma,Allen,France,EUR,45,M,2020-08-12,True,True,emma.allen0009@email.com
CUST00010,Emma,Lee,Canada,CAD,39,M,2020-03-08,False,True,emma.lee0010@email.com
CUST00011,Sara,Brown,USA,USD,39,F,2021-11-23,True,True,sara.brown0011@email.com
CUST00012,Sophie,Dubois,Australia,AUD,51,Other,2021-08-09,False,False,sophie.dubois0012@email.com
CUST00013,William,Thomas,Spain,EUR,46,M,2021-01-01,False,True,william.thomas0013@email.com
CUST00014,Michael,Walker,USA,USD,60,M,2020-05-02,False,True,michael.walker0014@email.com
CUST00015,Sophie,Smith,USA,USD,59,M,2021-04-29,False,True,sophie.smith0015@email.com
CUST00016,Luca,Walker,USA,USD,72,M,2021-12-21,False,False,luca.walker0016@email.com
CUST00017,Julia,Johnson,UK,GBP,30,M,2020-07-15,False,False,julia.johnson0017@email.com
CUST00018,Maria,Rossi,Germany,EUR,24,F,2020-08-10,False,True,maria.rossi0018@email.com
CUST00019,Emma,Thomas,UK,GBP,27,M,2021-05-02,False,True,emma.thomas0019@email.com
CUST00020,Anna,Anderson,USA,USD,45,M,2021-07-15,True,True,anna.anderson0020@email.com
CUST00021,Claire,Anderson,France,EUR,21,F,2021-12-01,False,True,claire.anderson0021@email.com
CUST00022,Julia,Hall,USA,USD,49,Other,2020-04-16,False,True,julia.hall0022@email.com
CUST00023,Claire,Wilson,USA,USD,39,M,2020-01-12,False,True,claire.wilson0023@email.com
CUST00024,Claire,Brown,UK,GBP,37,F,2020-10-30,False,True,claire.brown0024@email.com
CUST00025,Luca,White,Germany,EUR,65,M,2021-11-28,False,True,luca.white0025@email.com
CUST00026,Nina,Lee,Italy,EUR,37,F,2021-06-11,True,True,nina.lee0026@email.com
